amfi_code,cagr,sharpe_ratio,alpha,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,score,return_score,sharpe_score,alpha_score,dd_score
100016,0.026352458116335464,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,37.0,35.0,39.0,34.0,12.32876712328767,4.0,6.0,2.0,7.0
100025,0.04455091155784441,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,36.0,39.0,38.0,4.0,18.904109589041095,5.0,2.0,3.0,37.0
100033,0.30099703552874524,1.093698743534631,0.2719535450128533,-0.16217208574644848,7.0,7.0,6.0,20.0,90.13698630136986,34.0,34.0,35.0,21.0
101206,0.23520488754230384,1.0272133278753697,0.21399784776051212,-0.11291596329323073,12.0,9.0,12.0,9.0,82.73972602739727,29.0,32.0,29.0,32.0
101207,0.07933120999915699,0.16266076928646786,0.10897091901704538,-0.3544691649336603,27.0,28.0,27.0,38.0,34.52054794520548,14.0,13.0,14.0,3.0
101208,0.06504429821332125,-0.8155673679088258,0.060861457957871144,-0.0016224980244717857,32.0,40.0,33.0,3.0,25.47945205479452,9.0,1.0,8.0,38.0
102885,0.18218826089343754,0.817099337349437,0.17048756803412696,-0.1085986215250232,18.0,16.0,19.0,7.0,67.12328767123287,23.0,25.0,22.0,34.0
102886,0.0117093879842316,-0.2058316078547031,0.028969397866379445,-0.2800112356639287,40.0,36.0,40.0,35.0,7.397260273972603,1.0,5.0,1.0,6.0
102887,0.16828673461948984,0.6195175900829826,0.16211256794033255,-0.21539827112383225,20.0,22.0,21.0,30.0,52.6027397260274,21.0,19.0,20.0,11.0
118632,0.2403119561352478,1.0816591793457038,0.21829397904608644,-0.17414075086657232,11.0,8.0,11.0,23.0,81.36986301369863,30.0,33.0,30.0,18.0
118633,0.16262218000296524,0.6452074382933218,0.15643835948169668,-0.18629743138595511,22.0,21.0,22.0,26.0,51.780821917808225,19.0,20.0,19.0,15.0
118634,0.16361396476593382,0.4484340089089915,0.1750072167561127,-0.2334488614483311,21.0,26.0,18.0,32.0,49.31506849315068,20.0,15.0,23.0,9.0
118635,0.15945481185082522,0.6648569985490621,0.1513635464823924,-0.1165062450540909,23.0,19.0,23.0,10.0,56.16438356164385,18.0,22.0,18.0,31.0
118636,0.053131554027608274,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,35.0,38.0,35.0,6.0,21.91780821917808,6.0,3.0,6.0,35.0
119092,0.0636349475771898,0.030784850954585916,0.0689952982167755,-0.1440161790933726,33.0,31.0,30.0,15.0,30.136986301369863,8.0,10.0,11.0,26.0
119093,0.07891944369437343,0.12961449795669325,0.08232801295222093,-0.21751396370148224,28.0,29.0,28.0,31.0,33.97260273972603,13.0,12.0,13.0,10.0
119094,0.28192608222062465,0.9982309868636403,0.2607666908004223,-0.20960883862039192,9.0,11.0,9.0,28.0,80.82191780821918,32.0,30.0,32.0,13.0
119095,0.015204552427132478,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,39.0,33.0,37.0,39.0,11.506849315068493,2.0,8.0,4.0,2.0
119120,0.05885271270380055,-0.22657538662791568,0.05620895216638369,-0.04328728923970093,34.0,37.0,34.0,5.0,24.65753424657534,7.0,4.0,7.0,36.0
119551,0.2578492084946409,1.2082665673727178,0.23201007160635082,-0.1501238549864533,10.0,4.0,10.0,17.0,87.94520547945206,31.0,37.0,31.0,24.0
119552,0.21508021785499332,0.953279496866011,0.1986859936686296,-0.11803493502764295,15.0,12.0,15.0,11.0,74.79452054794521,26.0,29.0,26.0,30.0
119598,0.3239808398464554,0.9453082575156093,0.3033696538698332,-0.2870600572176455,2.0,14.0,1.0,36.0,88.21917808219179,39.0,27.0,40.0,5.0
119599,0.02053064146209893,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,38.0,32.0,36.0,40.0,13.698630136986301,3.0,9.0,5.0,1.0
120503,0.18771330105513617,0.7979728586052844,0.17703302365844073,-0.13897862823061635,17.0,17.0,17.0,14.0,66.57534246575342,24.0,24.0,24.0,27.0
120504,0.2327744753273051,1.0265242847993006,0.2119482701352573,-0.12588275606922517,13.0,10.0,13.0,12.0,79.45205479452055,28.0,31.0,28.0,29.0
120505,0.3280159948038617,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.0,5.0,3.0,25.0,98.63013698630137,40.0,36.0,38.0,16.0
120506,0.17072227512921923,0.6488787755249528,0.1625385327998104,-0.1982565826298267,19.0,20.0,20.0,27.0,56.71232876712329,22.0,21.0,21.0,14.0
120507,0.0723241093234459,0.495723392953312,0.06746210411099539,-0.0009773140045925555,29.0,23.0,31.0,1.0,44.38356164383561,12.0,18.0,10.0,40.0
120841,0.13522349085511554,0.4942725378672348,0.13042924450705445,-0.1757361416468729,24.0,24.0,25.0,24.0,46.02739726027397,17.0,17.0,16.0,17.0
120842,0.06696806255006482,0.07599984804658923,0.0780443887615508,-0.24003511326274884,31.0,30.0,29.0,33.0,28.767123287671232,10.0,11.0,12.0,8.0
120843,0.30883325525154603,1.3067439695428413,0.27330465038306057,-0.1297396816518679,6.0,2.0,5.0,13.0,97.80821917808218,35.0,39.0,36.0,28.0
120844,0.0691037983940288,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,30.0,34.0,32.0,2.0,33.42465753424658,11.0,7.0,9.0,39.0
125497,0.19003613208378556,0.7757902498211205,0.17729754927531766,-0.15200013055606398,16.0,18.0,16.0,18.0,66.30136986301369,25.0,23.0,25.0,23.0
125498,0.11293660210400969,0.3006119210425479,0.11989100971217971,-0.21117279560132118,26.0,27.0,26.0,29.0,39.45205479452054,15.0,14.0,15.0,12.0
148567,0.30949920362874206,1.4482911703262604,0.2698375144191807,-0.11265729075028275,5.0,1.0,7.0,8.0,100.0,36.0,40.0,34.0,33.0
148568,0.22499840384352243,0.9262873467360141,0.20873010086942337,-0.1527259422823477,14.0,15.0,14.0,19.0,71.78082191780821,27.0,26.0,27.0,22.0
148569,0.31924485848158723,1.2349300257743292,0.2827036785246582,-0.1639674294693263,4.0,3.0,4.0,21.0,97.53424657534246,37.0,38.0,37.0,20.0
149322,0.13383520958789363,0.46403744922047735,0.13173190226099432,-0.14844576917771746,25.0,25.0,24.0,16.0,46.849315068493155,16.0,16.0,17.0,25.0
149323,0.29558105232568344,1.1321218524747252,0.26598577542043045,-0.17248105753451382,8.0,6.0,8.0,22.0,88.21917808219179,33.0,35.0,33.0,19.0
149324,0.3226210752841656,0.949795824661604,0.3005787817097677,-0.31171900300634214,3.0,13.0,2.0,37.0,87.12328767123287,38.0,28.0,39.0,4.0
